id,title,link,issues
cinta-de-embalaje-yimi-2-x70-yd-transparente,Cinta De Embalaje Pegafan Transparente 2'' X 110 Yd (Eco),https://clip.com.pe/producto/cinta-de-embalaje-pegafan-transparente-2-x-110-yd-eco-15957002,key_title_mismatch
cola-faber-castell-pegabien-con-aplicador-250-gr,Cola Faber Castell Pegabien Con Aplicador 250 gr,Cola Faber Castell Pegabien Con Aplicador 225 G,link_invalid
colores-largos-artesco-triangulares-lapices-sacapuntas-x-12-und,Colores Largos Artesco Triangulares + Lápices + Sacapuntas X 12 Und,,link_missing
colores-largos-faber-castell-triangulares-clasicos-x-12-und,Colores Largos Faber Castell Triangulares ClAsicos X 12 Und,,link_missing
cuaderno-cuadriculado-justus,Cuaderno Cuadriculado - Justus,,link_missing
cuaderno-cuadriculado-luxor,Cuaderno Cuadriculado - Luxor,,link_missing
compas-escolar-layconsa-plastico-con-lapiz,Compás De Plástico Artesco Con Lápiz,https://clip.com.pe/producto/compas-de-plastico-artesco-con-lapiz-264,key_title_mismatch
corrector-mini-4ml,Corrector Mini 4Ml,,link_missing
corrector-tipo-lapicero-artesco-punta-metalica,Corrector Tipo Lapicero Artesco Punta Metálica,,link_missing
corrector-tipo-lapicero-faber-castell-punta-metalica,Corrector Tipo Lapicero Faber Castell Punta Metálica,,link_missing
crayones-jumbo-artesco-estuche-de-plastico-x-12-und,Crayones Delgados X 12 Und. Puppy,https://clip.com.pe/producto/crayones-delgados-x-12-und-puppy-402,key_title_mismatch
cuaderno-cuadriculado-standford,Cuaderno Cuadriculado - Standford,,link_missing
cuaderno-cuadriculado-a5-chico-justus,Cuaderno Cuadriculado A5 chico - Justus,,link_missing
cuaderno-cuadrimax-1x1-standford,Cuaderno Cuadrimax 1x1 - Standford,,link_missing
cuaderno-cuadrimax-2x2-standford,Cuaderno Cuadrimax 2x2 - Standford,,link_missing
cuaderno-rayado-justus,Cuaderno Rayado - Justus,,link_missing
cuaderno-rayado-luxor,Cuaderno Rayado - Luxor,,link_missing
cuaderno-rayado-standford,Cuaderno Rayado - Standford,,link_missing
cuaderno-rayado-a5-chico-justus,Cuaderno Rayado A5 chico - Justus,,link_missing
cuaderno-triple-kids-con-sombra-alpha,Cuaderno Triple kids con Sombra- Alpha,,link_missing
cuaderno-triple-renglon-con-sombra-justus,Cuaderno Triple Renglón con Sombra - Justus,,link_missing
cuaderno-triple-renglon-con-sombra-standford,Cuaderno Triple Renglón con Sombra - Standford,,link_missing
folder-artesco-a4-doble-tapa-con-gusano,Folder Artesco A4 Amarillo Doble Tapa Con Gusano,https://clip.com.pe/producto/folder-artesco-a4-amarillo-doble-tapa-con-gusano-16095001,key_title_mismatch
folder-artesco-duramax-fantasaa-a4-con-fastener-surtido,Folder Artesco Duramax Fantasía A4 Con Fastener Surtido,https://clip.com.pe/producto/folder-artesco-duramax-fantasia-a4-con-fastener-surtido-268,key_title_mismatch
forro-vinifan-a4-cristal,Forro Vinifan A4 Cristal,,link_missing
forro-vinifan-oficio-cristal,Forro Vinifan Oficio Cristal,,link_missing
forro-vinifan-vinifancito-a4-cristal,Forro Vinifan Vinifancito A4 Cristal,,link_missing
goma-en-barra-artesco-neon-21-g,Goma En Barra Artesco Neón 21 G,,link_missing
goma-en-barra-faber-castell-40-g,Goma En Barra Faber Castell 40 G,,link_missing
goma-en-barra-faber-castell-fix-21-g,Goma En Barra Faber Castell Fix 21 G,,link_missing
lapiz-2b-tacnico-faber-castell-sin-borrador-caja-x-12-und,Lápiz 2B Técnico Artesco Con Borrador Caja X 12 Und,https://clip.com.pe/producto/lapiz-2b-tecnico-artesco-con-borrador-caja-x-12-und-12968,key_title_mismatch
lapiz-redondo-2-b-con-borrador-con-tabla-de-multiplicar-x-12-und,Lápiz Redondo 2-B Con Borrador Con Tabla De Multiplicar X 12 Und.,,link_missing
lustre-color-anaranjado,Papel Lustre Naranja,https://clip.com.pe/producto/papel-lustre-naranja-5000346011,key_title_mismatch
lustre-color-blanco,Papel Lustre Blanco,https://clip.com.pe/producto/papel-lustre-blanco-5000346004,key_title_mismatch
lustre-color-celeste,Papel Lustre Celeste,https://clip.com.pe/producto/papel-lustre-celeste-5000346005,key_title_mismatch
lustre-color-lila,Papel Lustre Lila,https://clip.com.pe/producto/papel-lustre-lila-5000346008,key_title_mismatch
lustre-color-marron,Papel Lustre Marrón,https://clip.com.pe/producto/papel-lustre-marron-5000346009,key_title_mismatch
lustre-color-morado,Papel Lustre Morado,https://clip.com.pe/producto/papel-lustre-morado-5000346010,key_title_mismatch
lustre-color-negro,Papel Lustre Negro,https://clip.com.pe/producto/papel-lustre-negro-5000346012,key_title_mismatch
lustre-color-rojo,Juego Didáctico Evaflex Base Diez Multibase Surtido,https://clip.com.pe/producto/juego-didactico-evaflex-base-diez-multibase-surtido-6978,key_title_mismatch
lustre-color-rosado,Papel Lustre Rosado,https://clip.com.pe/producto/papel-lustre-rosado-5000346015,key_title_mismatch
lustre-color-turquesa,Papel Lustre Turquesa,https://clip.com.pe/producto/papel-lustre-turquesa-5000346016,key_title_mismatch
lustre-color-verde-agua,Papel Lustre Verde Agua,https://clip.com.pe/producto/papel-lustre-verde-agua-5000346021,key_title_mismatch
lustre-color-verde-oscuro,Juego Didáctico Evaflex Ábaco,https://clip.com.pe/producto/juego-didactico-evaflex-abaco-5363,key_title_mismatch
maquina-toner-para-fotocopiadora,MAQUINA - Toner para fotocopiadora,,link_missing
mica-portapapel-vinifan-a4-paquete-x-10-und,Mica Portapapel Vinifan A4 Paquete X 10 Und,,link_missing
papel-crepa-amarillo-x-10-unidades,Papel Crepé Amarillo X 10 Unidades,https://clip.com.pe/producto/papel-crepe-amarillo-x-10-unidades-16281001,key_title_mismatch
papel-crepa-azul-x-10-unidades,Papel Crepé Azul X 10 Unidades,https://clip.com.pe/producto/papel-crepe-azul-x-10-unidades-16281002,key_title_mismatch
papel-crepa-blanco-x-10-unidades,Papel Crepé Blanco X 10 Unidades,https://clip.com.pe/producto/papel-crepe-blanco-x-10-unidades-16281003,key_title_mismatch
papel-crepa-celeste-x-10-unidades,Papel Crepé Celeste X 10 Unidades,https://clip.com.pe/producto/papel-crepe-celeste-x-10-unidades-16281004,key_title_mismatch
papel-crepa-fucsia-x-10-unidades,Papel Crepé Fucsia X 10 Unidades,https://clip.com.pe/producto/papel-crepe-fucsia-x-10-unidades-16281005,key_title_mismatch
papel-crepa-lila-x-10-unidades,Papel Crepé Lila X 10 Unidades,https://clip.com.pe/producto/papel-crepe-lila-x-10-unidades-16281006,key_title_mismatch
papel-crepa-marron-x-10-unidades,Papel Crepé Marrón X 10 Unidades,https://clip.com.pe/producto/papel-crepe-marron-x-10-unidades-16281007,key_title_mismatch
papel-crepa-melon-x-10-unidades,Papel Crepé Melon X 10 Unidades,https://clip.com.pe/producto/papel-crepe-melon-x-10-unidades-16281008,key_title_mismatch
papel-crepa-morado-x-10-unidades,Papel Crepé Morado X 10 Unidades,https://clip.com.pe/producto/papel-crepe-morado-x-10-unidades-16281009,key_title_mismatch
papel-crepa-naranja-x-10-unidades,Papel Crepé Naranja X 10 Unidades,https://clip.com.pe/producto/papel-crepe-naranja-x-10-unidades-16281010,key_title_mismatch
papel-crepa-negro-x-10-unidades,Papel Crepé Negro X 10 Unidades,https://clip.com.pe/producto/papel-crepe-negro-x-10-unidades-16281011,key_title_mismatch
papel-crepa-rojo-x-10-unidades,Papel Crep? Rojo X 10 Unidades,,link_missing
papel-crepa-rosado-x-10-unidades,Papel Crepé Marrón X 10 Unidades,https://clip.com.pe/producto/papel-crepe-marron-x-10-unidades-16281007,key_title_mismatch
papel-crepa-verde-limon-x-10-unidades,Papel Crep? Verde  Limon X 10 Unidades,,link_missing
papel-crepa-verde-oscuro-x-10-unidades,Papel Crep? Verde Oscuro X 10 Unidades,,link_missing
perforador-artesco-m-73-25-hojas-negro,Perforador Escolar De Metal Faber Castell U10 10 Hojas,https://clip.com.pe/producto/perforador-escolar-de-metal-faber-castell-u10-10-hojas-2652,key_title_mismatch
pioner-universal-ove-a4-2-anillos-45-mm-blanco,Pioner Universal Vinifan A4 2 Anillos 45 Mm Blanco,https://clip.com.pe/producto/pioner-universal-vinifan-a4-2-anillos-45-mm-blanco-16368002,key_title_mismatch
pioner-universal-ove-a4-2-anillos-45-mm-negro,Pioner Universal Artesco A4 2 Anillos 45 Mm Negro,https://clip.com.pe/producto/pioner-universal-artesco-a4-2-anillos-45-mm-negro-16367003,key_title_mismatch
plumon-artesco-fineliner-triangular-x-12-und,Plumón Artesco Fineliner Triangular X 12 Und,,link_missing
plumon-delgado-artesco-power-tips-punta-conica-x-12-und,Plumón Delgado Artesco Power Tips Punta Cónica X 12 Und,,link_missing
plumon-delgado-faber-castell-colorfest-x-12-und,Plumón Delgado Faber Castell Colorfest X 12 Und,,link_missing
plumon-delgado-faber-castell-fiesta-45-estuche-ragido-x-12-und,Plumón Delgado Faber Castell Fiesta 45 Estuche Rígido X 12 Und,,link_missing;key_title_mismatch
plumon-delgado-faber-castell-fiesta-45-estuche-x-12-und,Plumón Delgado Faber Castell Fiesta 45 Estuche X 12 Und,,link_missing
plumon-delgado-faber-castell-fiesta-45-x-18-und,Plumón Delgado Faber Castell Fiesta 45 X 18 Und,,link_missing
plumon-indeleble-delgado-ove-daoo-azul,Plumón Indeleble Delgado Ove Dúo Azul,https://clip.com.pe/producto/plumon-indeleble-delgado-ove-duo-azul-16497001,key_title_mismatch
plumon-indeleble-delgado-ove-daoo-negro,Plumón Indeleble Delgado Ove Dúo Negro,,link_missing;key_title_mismatch
plumon-indeleble-delgado-ove-daoo-rojo,Plumón Indeleble Delgado Ove Dúo Rojo,,link_missing;key_title_mismatch
plumon-indeleble-jumbo-ove-e23-azul,Plumón Indeleble Grueso  Artesco Multimax A23 Rojo,https://clip.com.pe/producto/plumon-indeleble-grueso-artesco-multimax-a23-rojo-16406003,key_title_mismatch
plumon-indeleble-jumbo-ove-e23-negro,Plumón Indeleble Grueso Artesco Multimax A23 Azul,https://clip.com.pe/producto/plumon-indeleble-grueso-artesco-multimax-a23-azul-16406001,key_title_mismatch
plumon-indeleble-jumbo-ove-e23-rojo,Plumón Indeleble Grueso Artesco Multimax A23 Negro,https://clip.com.pe/producto/plumon-indeleble-grueso-artesco-multimax-a23-negro-16406002,key_title_mismatch
plumon-jumbo-ove-47-azul-x-1-und,Plumón Para Pizarra Faber Castell 123 Azul,https://clip.com.pe/producto/plumon-para-pizarra-faber-castell-123-azul-16444001,key_title_mismatch
plumon-jumbo-ove-47-negro-x-1-und,Plumón Para Pizarra Faber Castell 123 Rojo,https://clip.com.pe/producto/plumon-para-pizarra-faber-castell-123-rojo-16444006,key_title_mismatch
plumon-jumbo-ove-47-rojo-x-1-und,Plumón Para Pizarra Faber Castell 123 Negro,https://clip.com.pe/producto/plumon-para-pizarra-faber-castell-123-negro-16444005,key_title_mismatch
plumon-jumbo-ove-47-verde-x-1-und,Plumón Para Pizarra Faber Castell 123 Verde,https://clip.com.pe/producto/plumon-para-pizarra-faber-castell-123-verde-16444008,key_title_mismatch
plumon-jumbo-ove-e47-x-12-und,Plumón Jumbo Ove E47 X 12 Und,,link_missing
plumon-jumbo-ove-e47-x-6-und,Plumón Jumbo Ove E47 X 6 Und,,link_missing
resaltador-artesco-metalico-x-4-und,Resaltador Artesco MetAlico X 4 Und,,link_missing
resaltador-plumon-mini-grip-artesco-x6-neon,Resaltador Plumón Mini  Grip Artesco X6 Neón,,link_missing
silicona-de-barra-ove-delgada-800g,Silicona De Barra Ove Delgada 800G,,link_missing
silicona-de-barra-ove-gruesa-800g,Silicona De Barra Ove Gruesa 800G,,link_missing
silicona-laquida-artesco-100-ml,Silicona Líquida Artesco 100 Ml,https://clip.com.pe/producto/silicona-liquida-artesco-100-ml-2856,key_title_mismatch
silicona-laquida-artesco-250-ml,Silicona Líquida Artesco 250 Ml,https://clip.com.pe/producto/silicona-liquida-artesco-250-ml-2857.,key_title_mismatch
silicona-laquida-artesco-30ml,Silicona Líquida Artesco 30Ml,https://clip.com.pe/producto/silicona-liquida-artesco-30ml-2855,key_title_mismatch
tajador-metal-deposito-doble-pastel-artesco-caja-x12,Tajador Plástico Depósito Doble Tambor Vinifan Caja X 12 Und,https://clip.com.pe/producto/tajador-plastico-deposito-doble-tambor-vinifancax12-29084,key_title_mismatch
tajador-ove-plastico-caja-x-24,Tajador Ove Plástico Caja X 24,,link_missing
tajador-plastico-deposito-simple-funky-borrador-vinifan-caja-x-12-und,Tajador Plástico Depósito Simple Funky+ Borrador Vinifan Caja X 12 Und,,link_missing
chinches-dorados-ove-10-mm-x-100-und,Chinches Dorados Ove 10 Mm X 100 Und,,link_missing
palito-de-chupete-dragon-paquete-x-50-colores,Palito De Chupete Dragon Paquete X 50 Colores,,link_missing
palito-de-chupete-dragon-grueso-de-color-paquete-x-40-und,Palito De Chupete Dragon Grueso De Color Paquete X 40 Und,,link_missing
palito-de-chupete-natural-x-80-und,Palito De Chupete Natural X 80 Und,,link_missing
palito-de-chupete-grueso-natural,Palito De Chupete Grueso Natural,,link_missing
chinches-de-colores-ove-10-mm-x-100-und,Chinches De Colores Ove 10 Mm X 100 Und,,link_missing
chinches-de-colores-ove-push-pins-10-mm-x-50-und,Chinches De Colores Ove Push Pins 10 Mm X 50 Und,,link_missing
microporoso-escarchado-a4-surtido-x-10-und,Microporoso Escarchado A4 Surtido X 10 Und,,link_missing
punzon-evaflex-caja-x25,Punzón Evaflex Caja X25,,link_missing
tampon-artesco-negro-para-huella-digital,Tampón Artesco Negro Para Huella Digital,,link_missing
tampon-para-huella-digital-azul-ove,Tampón Para Huella Digital Azul Ove,,link_missing
